id,smiles
CHEMBL132363,CC1=CC(C)(C)Nc2ccc3c4cc(F)ccc4O\C(=C/c5ncccc5C)\c3c12
CHEMBL65021,COc1cccc2OC(c3ccccc3)c4cc(NS(=O)(=O)C)ccc4c12
CHEMBL395535,COc1ccccc1c2ccc3NC(C)(C)C=C(C(OCC=C)C(C)C)c3c2
CHEMBL3956011,Cc1ccc(NC(=O)c2ccc3[C@H]4[C@@H](O)C[C@]5(C)[C@@H](O)CC[C@H]5[C@@H]4CCc3c2)cn1
CHEMBL4099639,C[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2c3ccc(F)cc3)c1)c4cccc(O)c4
CHEMBL364015,C[C@]12Cc3cnn(c3C=C1CCC[C@@H]2[C@H](O)c4ccc(F)nc4)c5ccc(F)cc5
CHEMBL4094264,Clc1cccc(CN(c2ccc(Oc3ccccc3)cc2)S(=O)(=O)c4ccc(cc4)C#N)c1
CHEMBL1668086,CC(C)NC(=O)c1cccc(c1)n2ncc3c(NC[C@H](C)NS(=O)(=O)C4CC4)cc(C)cc23
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL1200545,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C
CHEMBL365546,C[C@@H]1C[C@@H](C)OC2(CCC3=Cc4c(C[C@]23C)cnn4c5ccc(F)cc5)O1
CHEMBL298687,COc1cccc2O[C@@H]([C@H]3CCCC(=C3)C)c4c(ccc5NC(C)(C)C=C(C)c45)c12
CHEMBL193482,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O
CHEMBL347159,CCC[C@@H]1O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)SC(CCO)C(=O)O
CHEMBL236406,COc1ccc(F)cc1C(C)(C)CC(O)(CCCc2ccccc2)C(F)(F)F
CHEMBL4061359,C[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2c3ccc(F)cc3)c1)c4ccc5OCCOc5c4
CHEMBL1255080,COc1ccc(F)cc1C(C)(C)C[C@@](O)(Cc2cc3ccncc3[nH]2)C(F)(F)F
